Timestamp: 2024-03-24 14:03:38, Arduino Data: {'Humidity': 21}
Timestamp: 2024-03-24 14:03:38, Arduino Data: {'Humidity': 21}
Timestamp: 2024-03-24 15:22:40, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.48, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-24 15:22:45, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:22:45, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:22:50, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.53, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:22:50, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.53, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:22:54, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.51, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-24 15:22:54, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.51, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-24 15:47:06, Arduino Data: {'gas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:06, Arduino Data: {'gas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:13, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.45, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 191}
Timestamp: 2024-03-24 15:47:13, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.45, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 191}
Timestamp: 2024-03-24 15:47:18, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.41, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:18, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.41, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:23, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.4, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:23, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.4, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:28, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.39, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:28, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.39, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:33, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.37, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:33, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.37, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:39, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.26, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 255}
